Description,Labels
"GitHub Innovation: Code, Collaborate, and Create! Level up your coding with GitHub GitHub is more than just a repository -it's a powerhouse for collaboration, vision control and open-source innovation. your ultimate hub for teamwork, version control, and innovation. Explore feature like branching, pull request and GitHub actions to streamline the workflow and create impactful project. This interactive session will cover everything you need to code smart, collaborate better and create efficiency","Workshop, GitHub, Beginner"
"This full day event challenges students to identify and propose solutions for water wastage on campus. Participants will work in teams to locate problem areas, analyze causes, and develop innovative solutions. The event aims to promote interdisciplinary collaboration and practical problem-solving in water conservation.","Ideathon, Interdisciplinary"
"We're back with the 8th edition of WomenTechies'25, an event designed to empower and inspire women in tech. Prepare to learn, grow and prosper in STEM through a wide spectrum of tracks covering various domains. WomenTechies'25 is a 36 hour, one-of-a-kind women centric hackathon where participants will compete to develop the best project using their creative and technical skills. Whether you're a beginner or an experienced coder, this is your chance to code, collaborate and conquer new horizons.","Hackathon, Women, Interdisciplinary, Beginner"
"This comprehensive session provides an overview of Google's cutting-edge AI, offering insights into the architecture and impact of the Nobel Prize-winning AlphaFold model, which revolutionized protein folding. You'll explore the potential of Gemini and the Astra Project, Google's ambitious research initiatives. Additionally, you'll gain a thorough understanding of Generative Pre-Trained Transformers, their features, and the underlying technical mechanisms that power these powerful AI models.","Talk, AI, ML, Google, Beginner"
"Join us for an exciting session led by Divina John, upcoming Google FTE, as she reveals top strategies to build a memorable personal brand using LinkedIn. At 'Make them Notice: LinkedIn Edition', discover 6 simple steps to make your profile stand out to employers and industry professionals, gain expert networking tips, and learn how to leverage LinkedIn for career growth. The session will also include personalized feedback, perfect for leveling up your LinkedIn persona.","Talk, LinkedIn, Interdisciplinary, Beginner"
"This workshop aims to familiarize participants on how AI models work and their role in detecting fake digital content like deep fake images and videos. Discussing the fundamentals of AI, Neural Networks, CNNs, and live face swaps followed by hands-on experience with pre-trained AI models for detecting manipulated media. Through interactive activities and real-world examples, attendees will develop the skills to identify fake information and understand the impact of AI in cybersecurity.","Workshop, AI,ML, DL, "
"This session will provide a comprehensive understanding of the world of circuit design. Participants will be exposed to the important concepts such as schematic design, PCB layout and its designing rules and DRC for layouts. They will also get an overview of PCB fabrication, learning substrates, etching, layers, making footprints, lamination and other key concepts. The session will end with the need for PCBs with optimal designs in the field of robotics.","Workshop, PCB"
"Step into the world of embedded systems with this hands-on workshop, designed exclusively for beginners. Learn the basics of microcontrollers, sensors, and actuators through live demos and interactive coding sessions. This workshop will equip you with the fundamental skills needed to interface hardware, write embedded code, and prototype simple projects. No prior experience - No problem! Just bring your curiosity, and we will take care of the rest.","Embedded Systems, Workshop"
"CodeDoc 2.0 is a 36 hrs hackathon by IEEE-IAS X IEEE-PES , designed to challenge participants with real world problem statements. No distractions , just logic speed and coding skills against the clock . Find real life solutions to real life problems. Are you ready to conquer CodeDoc 2.0 !!","Hackathon, Interdisciplinary"
"AIpreneur is an exciting session that dives into the world of AI: how it works and its impact on various industries. Followed by an interactive ""Make Your Own Startup"" challenge, participants will craft a business idea, design a logo, and create a tagline. A perfect blend of tech and entrepreneurship, AIpreneur sparks innovation and creativity in the AI-driven startup landscape.
","Talk, Workshop, AI, Entrepreneurship"
"In this series of workshops, we will be introducing various technologies to get started with making websites and designing your dream website. This week, we will be introducing Flask, a simple-to-use Python foundational backend framework to get started on your web app.","Workshop, Backend, Website, Flask"
"IEEE COMSOC and PCS are collaboratively organizing ""Connectron,"" a 36-hour hackathon as part of Yantra'25, aimed at developing impactful solutions supporting the United Nations Sustainable Development Goals (SDGs). Following an industrial expert session by Dr. Nandkishore Rathi, the hackathon delves into four exciting tracks: Web Development, AI & ML, IoT, and Embedded Systems. An exciting prize pool awaits the best ideas that demonstrate a clear link to the SDGs and harness the power of AI.","Hackathon, AI, ML, IoT, Embedded Systems"
